Config:
  csv_path: TourismData_Rob_J_Hyndman.csv
  out_dir: runs_hensgen_nbeats_ncl
  total_points: 223
  train_points: 150
  val_points: 25
  test_points: 48
  seq_len: 50
  horizon: 1
  use_minmax_scaling: True
  epochs: 1000
  batches_per_epoch: 25
  batch_size: 32
  eta: 0.005
  weight_decay: 0.0
  seeds: (1337, 1338, 1339, 1340, 1341)
  enc_dim: 1024
  num_blocks: 6
  block_hidden_width: 512
  block_num_layers: 4
  latent_dim: 512
  dropout: 0.0
  use_bn_on_latent: True
  use_dynamic_alpha: True
  epoch_period: 100
  alpha_s_init: 100.0
  alpha_i: 0.1
  eps_lc: 1e-12
  num_workers: 0
  pin_memory: True
  device: cuda

Data:
  T = 228
  bottom series = 304
  hierarchy series (n_all) = 555
  states=7, zones=27, regions=76, purposes=4
Sanity mean(|y - A y|) on constructed targets (ORIG) = 1.098448e-04
Scaling: per-series Min-Max fitted on TRAIN slice only; training uses scaled space; reporting uses original units.
[ncl seed=1338] epoch   50 | train MSE(scaled)=0.014878 | val RMSE(orig)=207.581272 | val coh(orig)=0.185279 | alpha=1.631e+04 | lr=4.997e-04
[ncl seed=1338] epoch  100 | train MSE(scaled)=0.012437 | val RMSE(orig)=205.752470 | val coh(orig)=0.275923 | alpha=2.177e+04 | lr=4.857e-04
[ncl seed=1338] epoch  250 | train MSE(scaled)=0.005435 | val RMSE(orig)=180.137906 | val coh(orig)=0.093822 | alpha=1.105e+05 | lr=4.195e-04
[ncl seed=1338] epoch  500 | train MSE(scaled)=0.003940 | val RMSE(orig)=165.569090 | val coh(orig)=0.139474 | alpha=9.523e+04 | lr=4.248e-04
[ncl seed=1338] epoch  750 | train MSE(scaled)=0.003077 | val RMSE(orig)=190.793688 | val coh(orig)=0.082151 | alpha=7.984e+04 | lr=4.312e-04
[ncl seed=1338] epoch 1000 | train MSE(scaled)=0.002662 | val RMSE(orig)=176.148831 | val coh(orig)=0.090239 | alpha=6.645e+04 | lr=4.382e-04
[ncl seed=1339] epoch    1 | train MSE(scaled)=0.167384 | val RMSE(orig)=4150.052575 | val coh(orig)=468.779572 | alpha=1.000e+02 | lr=1.014e-03
[ncl seed=1339] epoch    5 | train MSE(scaled)=0.034406 | val RMSE(orig)=710.679117 | val coh(orig)=5.666744 | alpha=6.409e+03 | lr=5.511e-04
[ncl seed=1339] epoch   10 | train MSE(scaled)=0.027510 | val RMSE(orig)=944.056102 | val coh(orig)=0.419733 | alpha=8.005e+03 | lr=5.379e-04
[ncl seed=1339] epoch   50 | train MSE(scaled)=0.016576 | val RMSE(orig)=673.556574 | val coh(orig)=0.831584 | alpha=1.459e+04 | lr=5.053e-04
